year,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity
1921,0.425660938,0.236783594,0.425494531,100.3977578,-17.0954375,1,7,0.895823438,0.32233011,0.215814063,0.077257813,229911.9141,0.3515625
1922,0.48,0.23702625,0.534055556,101.3761389,-19.17995833,1,10,0.939236111,0.440469941,0.238647222,0.115419444,167904.5417,0.138888889
1923,0.568461538,0.246936095,0.624787574,112.4565976,-14.37388166,1,0,0.976328941,0.401932482,0.236655621,0.098618935,178356.3018,5.727810651
1924,0.548654008,0.347032911,0.66857384,120.6533586,-14.2023038,1,10,0.935574544,0.583954695,0.237874684,0.090209705,188461.6498,0.603375527
1925,0.571889734,0.264372624,0.616430418,115.6717148,-14.51670722,1,5,0.965422053,0.408893408,0.243093536,0.115457414,184130.6996,2.707224335
1926,0.558295195,0.239194931,0.495961453,108.4965732,-16.41062128,1,5,0.740919594,0.468505274,0.234052517,0.306672426,170391.5011,1.613272311
1927,0.649959732,0.256158725,0.66065906,114.6114648,-14.72681208,1,7,0.934606323,0.402275784,0.167778523,0.116197483,185163.1997,0.832214765
1928,0.529695689,0.207142747,0.492953593,106.195246,-17.31619273,1,1,0.946188006,0.516979011,0.177988335,0.135313271,217498.3119,1.536770921
1929,0.647005087,0.24051342,0.638207684,111.3539881,-16.60708874,1,7,0.591110509,0.21946126,0.235988312,0.485278355,169983.4253,0.327922078
1930,0.510382249,0.327300193,0.618458159,110.2143556,-12.6859344,1,2,0.943474167,0.36337664,0.217320397,0.07970237,195908.5595,0.871554576
1931,0.556093523,0.25843397,0.571312954,108.0102812,-15.90358136,1,0,0.875893523,0.3320111,0.239117852,0.233181517,179379.5735,0.211690363
1932,0.560050939,0.305478497,0.593601879,116.225833,-13.28890605,1,7,0.940087683,0.226417916,0.236319833,0.141776409,193462.6848,1.542797495
1933,0.603766399,0.287360611,0.635153376,115.0536817,-12.76876527,1,5,0.90501086,0.130555862,0.210155466,0.096170579,192454.0386,7.069131833
1934,0.529833935,0.259990614,0.564255054,115.988287,-14.86393863,1,0,0.89285375,0.273865077,0.216328159,0.104409386,187911.9964,1.046931408
1935,0.553363892,0.244698444,0.541963636,110.6644155,-15.49448015,1,7,0.781330269,0.226478907,0.228123175,0.354805122,222171.395,1.362996159
1936,0.532999905,0.306197884,0.551709013,109.9816414,-13.79590512,1,10,0.795903499,0.301756586,0.225570209,0.21486518,248519.7163,5.010436433
1937,0.556888087,0.286996191,0.594564933,114.5911695,-13.42102013,1,7,0.899630872,0.335733979,0.21799094,0.086466779,205470.5755,3.55033557
