artist_name,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
Frank Sinatra,792507,0.384478451,0.238016728,0.36428824,110.1816983,-14.27114098,1,5,0.735648225,0.020854983,0.232105551,0.049614244,189179.9255,26.00438276,1369
Vladimir Horowitz,119107,0.343209611,0.118844275,0.22595087,94.90067854,-23.19341756,1,1,0.990070423,0.879507871,0.183812345,0.043359818,266541.1251,3.592377796,1207
Johnny Cash,816890,0.619803442,0.449381159,0.680662319,115.0377473,-11.59310417,1,10,0.685636884,0.022646551,0.242242663,0.098216123,162279.2672,26.61413043,1104
Billie Holiday,79016,0.57263653,0.201368037,0.498934429,109.9121717,-13.22596621,1,5,0.90849863,0.013063617,0.217726758,0.062431781,185131.453,15.62100457,1095
Bob Dylan,66915,0.512597985,0.477932051,0.5519337,126.1601493,-11.18432967,1,7,0.562566789,0.03421143,0.308977656,0.06453489,256713.4203,30.86080586,1092
The Rolling Stones,894465,0.524446377,0.719914976,0.655331787,123.7647169,-7.830264734,1,0,0.293788178,0.176137057,0.268443382,0.051439903,229705.9623,34.57391304,1035
The Beach Boys,41874,0.502944668,0.532130785,0.633956539,125.9920362,-9.925742455,1,9,0.398488245,0.115362907,0.191189235,0.043970624,148845.0946,27.95774648,994
Elvis Presley,180228,0.495843434,0.426307677,0.621249495,111.4894535,-12.8937303,1,0,0.741411858,0.05362297,0.247345859,0.058278485,156211.0354,33.39191919,990
Wolfgang Amadeus Mozart,26350,0.353346375,0.137869382,0.330528998,108.6043401,-20.17425693,1,7,0.961572495,0.508880787,0.188827825,0.068484861,329702.9243,8.936034115,938
Miles Davis,423829,0.460220602,0.308228565,0.417860185,113.5503819,-14.52661921,0,0,0.65571081,0.205073002,0.21976169,0.054571065,404023.4456,22.70023148,864
Ella Fitzgerald,184502,0.429264195,0.241637312,0.391095829,109.0629768,-13.24842526,1,0,0.832413673,0.005059539,0.213361761,0.060491889,213098.657,21.38122827,863
Dean Martin,813392,0.466482284,0.219624242,0.474845455,111.1737389,-14.47550583,1,7,0.866595571,0.025948981,0.179187762,0.043719231,160655.7145,19.28088578,858
Queen,858827,0.459114918,0.60251049,0.4334,116.6664371,-9.828904429,1,2,0.283186275,0.031742966,0.268521795,0.071037179,231867.1678,32.54778555,858
Lata Mangeshkar,132940,0.500360234,0.302660234,0.649,115.4179041,-12.30304561,1,1,0.945985965,0.262416525,0.208230643,0.08542538,214242.1953,4.088888889,855
Glenn Gould,803752,0.359996871,0.222202383,0.643841877,110.2414549,-22.1191444,1,7,0.980315283,0.866343671,0.139213117,0.047417329,191915.2335,18.58724428,831
The Beatles,754032,0.521975456,0.546826974,0.619659538,121.0747461,-9.682696233,1,0,0.360355932,0.051906132,0.223001337,0.053395018,174307.87,48.06075334,823
Fleetwood Mac,182900,0.577665829,0.517276131,0.607894221,123.283103,-11.97356533,1,9,0.359766385,0.130338418,0.243842211,0.041397739,240890.6935,34.87437186,796
Led Zeppelin,139026,0.42156213,0.688843195,0.505987574,118.8871657,-10.20231657,1,2,0.223537225,0.158420879,0.22633284,0.062070414,327086.2959,41.41715976,676
Bob Marley & the Wailers,69402,0.742844884,0.547612211,0.749334983,120.298637,-9.665752475,1,9,0.204243982,0.028482358,0.289808581,0.153062046,273496.7739,43.1320132,606
Nina Simone,411761,0.444465378,0.331484605,0.454504042,114.4809772,-13.37796134,1,9,0.779938278,0.03847298,0.290231986,0.058175747,233122.2689,28.67486819,569
Elton John,796734,0.523767606,0.586008451,0.53085,128.0431092,-9.655693662,1,0,0.350958617,0.011542424,0.222402641,0.04238081,278983.8732,38.0915493,568
Stevie Wonder,622805,0.558972376,0.525656354,0.615994475,113.8077606,-12.02628177,1,1,0.343211304,0.025125901,0.18320884,0.054625046,246756.512,34.48066298,543
Marvin Gaye,316834,0.541295203,0.557293358,0.649764576,116.1497196,-10.73299077,0,0,0.423244207,0.137062139,0.230760148,0.049913838,231409.1771,32.38560886,542
Leonard Bernstein,239859,0.323771904,0.211741155,0.238651756,105.1448743,-19.34347505,1,5,0.87542329,0.506012168,0.227327357,0.085401294,331077.6007,10.83918669,541
The Who,577627,0.472034749,0.723826255,0.503839768,127.2440116,-8.821011583,1,2,0.223891963,0.069391678,0.252487645,0.062551158,239976.7066,29.76833977,518
Willie Nelson,583959,0.562986408,0.374104078,0.498713786,115.3286777,-12.91758252,1,2,0.607378796,0.036486833,0.211956699,0.045695728,190564.066,31.80970874,515
Grateful Dead,988440,0.558651072,0.51783115,0.629833918,120.6570078,-12.06088889,1,9,0.437857817,0.134282647,0.327447953,0.045292008,337784.3119,32.39961014,513
John Coltrane,175553,0.460081028,0.356163241,0.432656126,116.3647688,-13.19754348,1,0,0.681216522,0.1455987,0.177910277,0.053308103,431693.1897,22.72727273,506
Thelonious Monk,490416,0.547653768,0.286609776,0.399822403,113.4160835,-14.32149287,1,5,0.818879837,0.497480118,0.143676986,0.059595316,294534.1202,18.48676171,491
Vicente FernÃ¡ndez,197424,0.468611452,0.399770961,0.57392229,116.0002904,-7.310529652,1,7,0.564035174,0.004577476,0.249567485,0.041898978,184993.9223,37.84458078,489
Oscar Peterson,489316,0.556848548,0.170209959,0.394861203,103.1299149,-19.70441494,1,0,0.928363071,0.766649263,0.124203527,0.0473639,211745.1452,14.7406639,482
Metallica,446509,0.361067227,0.903907563,0.339061765,125.0781345,-6.299273109,1,4,0.020060711,0.228038739,0.346835294,0.099903361,369913.1555,40.02941176,476
U2,219203,0.444403548,0.680154324,0.439485366,126.8481596,-9.94475388,1,8,0.123511885,0.128396536,0.30409867,0.045547894,265289.745,40.35698448,451
David Bowie,531986,0.497813004,0.595268161,0.547633632,122.769713,-11.26176906,1,0,0.254577359,0.076402439,0.208974888,0.059765695,242765.4619,41.72869955,446
Waylon Jennings,200791,0.597305618,0.491511461,0.638937978,114.4721011,-12.29962697,1,2,0.493005888,0.08540917,0.223470562,0.038269888,178821.5101,30.61797753,445
The Kinks,100160,0.547176471,0.707960181,0.675529864,122.030543,-8.109782805,1,7,0.296287014,0.022411033,0.183461538,0.055244344,186075.7285,29.97737557,442
