influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
759491,The Exploited,Pop/Rock,1980,74,Special Duties,Pop/Rock,1980
25462,Tricky,Electronic,1990,335,PJ Harvey,Pop/Rock,1990
66915,Bob Dylan,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990
71209,Leonard Cohen,Pop/Rock,1950,335,PJ Harvey,Pop/Rock,1990
91438,The Gun Club,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990
113823,Chrissie Hynde,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
132710,Crime & the City Solution,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990
208582,Lesley Gore,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990
378288,Massive Attack,Electronic,1980,335,PJ Harvey,Pop/Rock,1990
397880,Nick Cave,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
489999,The Raincoats,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
492331,Pretenders,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
615119,Tom Waits,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
651107,Marianne Faithfull,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990
747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
755156,Sonic Youth,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990
838272,Pere Ubu,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
895136,Pixies,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990
899530,The Smiths,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990
960690,X,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
988638,Captain Beefheart,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990
75264,Bad Brains,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990
91650,Black Flag,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990
